siparis_id,tarih_saat,musteri_tipi,urun_kategori,siparis_tutar,odeme_yontemi,kargo_firma,teslimat_sure,siparis_durum,memnuniyet_puan,bolge,tarih,saat,gun_adi,hafta
12319,2025-11-01 09:20:47,Bireysel,Kitap & Hobi,79.94,Kredi Kartı,Hızlı Kargo,3,Tamamlandı,4.3,İzmir,2025-11-01,9,Saturday,43
8816,2025-11-01 09:53:17,Kurumsal,Ev & Yaşam,534.34,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,4.6,Diğer Şehirler,2025-11-01,9,Saturday,43
1183,2025-11-01 09:54:05,Bireysel,Spor,550.81,Kredi Kartı,Hızlı Kargo,5,Tamamlandı,4.7,Diğer Şehirler,2025-11-01,9,Saturday,43
11533,2025-11-01 10:19:12,Bireysel,Ev & Yaşam,220.68,Kredi Kartı,Süper Kargo,2,Tamamlandı,4.7,İstanbul,2025-11-01,10,Saturday,43
8396,2025-11-01 10:54:15,Kurumsal,Elektronik,20.0,Kredi Kartı,Express Lojistik,4,Tamamlandı,4.4,Ankara,2025-11-01,10,Saturday,43
6549,2025-11-01 12:14:29,Bireysel,Elektronik,20.0,Kredi Kartı,Express Lojistik,3,Tamamlandı,4.7,Diğer Şehirler,2025-11-01,12,Saturday,43
9436,2025-11-01 12:53:52,Kurumsal,Giyim,545.7,Kredi Kartı,Hızlı Kargo,4,Tamamlandı,4.2,Ankara,2025-11-01,12,Saturday,43
6834,2025-11-01 13:00:45,Bireysel,Ev & Yaşam,426.67,Havale,Hızlı Kargo,1,Tamamlandı,4.8,İstanbul,2025-11-01,13,Saturday,43
12823,2025-11-01 13:02:38,Bireysel,Elektronik,732.49,Havale,Hızlı Kargo,3,Tamamlandı,4.1,İstanbul,2025-11-01,13,Saturday,43
11258,2025-11-01 14:44:23,Bireysel,Spor,195.99,Kredi Kartı,Hızlı Kargo,2,Tamamlandı,4.7,Ankara,2025-11-01,14,Saturday,43
5410,2025-11-01 15:00:50,Bireysel,Ev & Yaşam,601.63,Havale,Süper Kargo,4,Tamamlandı,4.4,İzmir,2025-11-01,15,Saturday,43
7323,2025-11-01 15:34:09,Bireysel,Kitap & Hobi,124.76,Kapıda Ödeme,Süper Kargo,3,Tamamlandı,4.3,İstanbul,2025-11-01,15,Saturday,43
10544,2025-11-01 16:21:16,Bireysel,Ev & Yaşam,339.71,Kapıda Ödeme,Süper Kargo,4,Tamamlandı,4.3,İstanbul,2025-11-01,16,Saturday,43
6144,2025-11-01 16:23:33,Bireysel,Ev & Yaşam,134.54,Kredi Kartı,Hızlı Kargo,1,Tamamlandı,4.6,İstanbul,2025-11-01,16,Saturday,43
5625,2025-11-01 16:30:17,Bireysel,Elektronik,20.0,Havale,Hızlı Kargo,2,Tamamlandı,4.8,Ankara,2025-11-01,16,Saturday,43
5488,2025-11-01 16:35:11,Bireysel,Giyim,138.61,Havale,Süper Kargo,2,Tamamlandı,4.2,İstanbul,2025-11-01,16,Saturday,43
