rezervasyon_id,tarih_saat,musteri_tipi,cadir_tipi,yas_grubu,odeme_yontemi,sezon,konaklama_gece,toplam_tutar,checkin_sure_dk,memnuniyet_puan,ekstra_kahvalti,ekstra_somine,ekstra_aktivite,onceki_ziyaret,ek_harcama
RZV00001,2024-01-01 10:16:00,Çift,Royal,36-45,Kredi Kartı,Kış,2,4987.05,9,4.3,True,False,True,1,1371.41
RZV00002,2024-01-01 10:21:00,Çift,Lüks,18-25,Kredi Kartı,Kış,4,11842.28,19,4.5,True,True,True,3,2995.23
RZV00003,2024-01-01 10:39:00,Çift,Standart,36-45,Nakit,Kış,3,4932.57,9,3.7,False,False,False,0,647.02
RZV00004,2024-01-01 10:42:00,Çift,Standart,36-45,Kredi Kartı,Kış,3,4878.44,8,3.7,True,True,True,1,1071.62
RZV00005,2024-01-01 10:52:00,Çift,Royal,60+,Havale,Kış,2,4930.75,8,4.3,False,True,True,0,1256.06
RZV00006,2024-01-01 11:12:00,Tek Kişi,Ekonomik,36-45,Kredi Kartı,Kış,1,1392.12,6,3.6,False,False,False,0,224.97
RZV00007,2024-01-01 11:16:00,Aile,Standart,46-60,Kredi Kartı,Kış,3,5182.68,15,3.9,True,False,False,0,950.15
RZV00008,2024-01-01 11:45:00,Arkadaş Grubu,Standart,26-35,Kredi Kartı,Kış,4,7361.04,8,3.9,False,False,False,0,660.8
RZV00009,2024-01-01 12:05:00,Aile,Royal,26-35,Online Ödeme,Kış,4,8595.09,5,3.8,True,True,False,4,1218.62
RZV00010,2024-01-01 12:13:00,Çift,Royal,26-35,Kredi Kartı,Kış,3,7560.5,9,3.8,True,False,True,1,1814.77
RZV00011,2024-01-01 12:58:00,Tek Kişi,Royal,46-60,Kredi Kartı,Kış,1,2548.31,24,4.4,True,True,True,0,1109.15
RZV00012,2024-01-01 14:18:00,Tek Kişi,Standart,36-45,Kredi Kartı,Kış,2,3489.08,28,3.8,False,False,False,1,636.77
RZV00013,2024-01-01 14:18:00,Aile,Royal,26-35,Nakit,Kış,5,12933.07,33,4.3,False,True,False,5,1476.73
RZV00014,2024-01-01 14:18:00,Aile,Standart,46-60,Online Ödeme,Kış,3,5191.71,34,3.8,True,True,False,2,946.11
RZV00015,2024-01-01 14:28:00,Çift,Standart,36-45,Kredi Kartı,Kış,2,3223.57,14,3.8,True,True,False,4,952.87
RZV00016,2024-01-01 14:30:00,Aile,Royal,26-35,Kredi Kartı,Kış,3,6734.04,31,4.2,True,True,False,0,1823.72
RZV00017,2024-01-01 14:30:00,Arkadaş Grubu,Standart,36-45,Nakit,Kış,2,3437.97,19,4.3,True,True,False,3,735.6
RZV00018,2024-01-01 14:34:00,Çift,Standart,36-45,Online Ödeme,Kış,3,5514.61,22,3.8,True,False,False,3,969.4
RZV00019,2024-01-01 15:04:00,Arkadaş Grubu,Royal,36-45,Online Ödeme,Kış,3,6529.34,19,3.9,True,False,True,1,1395.02
RZV00020,2024-01-01 15:11:00,Tek Kişi,Standart,36-45,Online Ödeme,Kış,1,1735.49,15,3.9,True,False,False,1,492.99
RZV00021,2024-01-01 15:39:00,Çift,Royal,60+,Kredi Kartı,Kış,3,7525.28,25,4.4,True,True,True,4,1353.65
RZV00022,2024-01-01 16:12:00,Çift,Standart,18-25,Kredi Kartı,Kış,2,3138.47,51,3.7,False,True,False,0,763.74
RZV00023,2024-01-01 16:44:00,Çift,Royal,18-25,Kredi Kartı,Kış,2,4395.16,31,3.7,True,True,True,2,1017.2
RZV00024,2024-01-01 16:44:00,Aile,Royal,46-60,Kredi Kartı,Kış,4,9265.11,27,4.0,False,True,True,3,1303.4
RZV00025,2024-01-01 17:07:00,Aile,Standart,36-45,Kredi Kartı,Kış,4,6492.48,14,3.8,True,False,True,0,1337.6
RZV00026,2024-01-01 17:18:00,Çift,Lüks,36-45,Online Ödeme,Kış,3,8386.49,15,5.0,True,True,False,0,1454.38
RZV00027,2024-01-01 18:18:00,Çift,Royal,26-35,Kredi Kartı,Kış,2,4473.16,8,4.2,True,True,False,4,1366.67
RZV00028,2024-01-01 18:31:00,Arkadaş Grubu,Royal,26-35,Kredi Kartı,Kış,3,6612.6,8,4.3,True,False,True,3,1842.32
RZV00029,2024-01-01 18:52:00,Çift,Royal,18-25,Nakit,Kış,3,7298.3,8,4.4,False,False,False,0,1018.79
RZV00030,2024-01-01 19:01:00,Tek Kişi,Standart,46-60,Kredi Kartı,Kış,1,1763.96,8,3.9,False,False,True,0,369.64
RZV00031,2024-01-01 19:03:00,Aile,Lüks,46-60,Online Ödeme,Kış,4,12382.99,6,4.7,True,True,False,1,1841.9
RZV00032,2024-01-01 19:33:00,Aile,Standart,46-60,Kredi Kartı,Kış,3,5133.0,10,3.8,False,False,False,2,612.45
RZV00033,2024-01-01 20:24:00,Çift,Standart,46-60,Kredi Kartı,Kış,2,3707.98,24,3.8,True,False,False,0,855.77
RZV00034,2024-01-01 20:38:00,Çift,Royal,26-35,Nakit,Kış,4,10244.53,8,4.0,True,False,False,0,1591.03
RZV00035,2024-01-01 20:43:00,Arkadaş Grubu,Standart,36-45,Online Ödeme,Kış,4,7422.38,9,3.9,True,False,False,0,718.66
RZV00036,2024-01-01 21:00:00,Çift,Standart,26-35,Online Ödeme,Kış,4,6648.76,16,4.4,True,True,True,4,1431.82
RZV00037,2024-01-01 21:36:00,Tek Kişi,Royal,18-25,Kredi Kartı,Kış,1,2559.82,19,4.5,True,False,False,0,784.6
RZV00038,2024-01-01 22:08:00,Çift,Standart,60+,Kredi Kartı,Kış,2,3578.75,8,3.5,True,False,True,1,734.25
RZV00039,2024-01-01 22:23:00,Çift,Ekonomik,26-35,Kredi Kartı,Kış,3,3702.58,9,3.6,False,False,False,3,331.89
RZV00040,2024-01-01 22:49:00,Çift,Royal,60+,Nakit,Kış,2,4385.48,11,4.1,True,True,False,2,916.32
RZV00041,2024-01-01 22:54:00,Çift,Royal,36-45,Kredi Kartı,Kış,2,4933.86,12,4.1,True,True,False,0,1363.68
RZV00042,2024-01-02 10:12:00,Arkadaş Grubu,Royal,36-45,Kredi Kartı,Kış,3,6620.85,7,4.3,True,False,False,1,1173.79
RZV00043,2024-01-02 10:35:00,Çift,Royal,18-25,Kredi Kartı,Kış,2,4563.67,11,4.1,True,False,False,1,1176.11
RZV00044,2024-01-02 11:04:00,Arkadaş Grubu,Lüks,36-45,Kredi Kartı,Kış,4,11900.87,14,4.4,True,False,True,0,2394.21
RZV00045,2024-01-02 11:21:00,Aile,Royal,26-35,Kredi Kartı,Kış,3,7396.87,9,3.9,True,True,True,0,1949.38
RZV00046,2024-01-02 12:31:00,Aile,Ekonomik,26-35,Nakit,Kış,4,5534.75,14,3.5,False,False,False,5,300.2
RZV00047,2024-01-02 13:30:00,Aile,Royal,26-35,Online Ödeme,Kış,4,9697.53,11,4.2,True,False,False,2,1523.45
RZV00048,2024-01-02 14:05:00,Arkadaş Grubu,Ekonomik,36-45,Kredi Kartı,Kış,3,3956.13,15,3.7,True,False,False,0,307.91
RZV00049,2024-01-02 14:23:00,Çift,Standart,36-45,Kredi Kartı,Kış,3,4906.21,26,3.3,True,False,False,0,749.76
RZV00050,2024-01-02 14:39:00,Aile,Royal,26-35,Havale,Kış,3,7407.45,24,4.3,True,True,True,0,1933.33
RZV00051,2024-01-02 14:43:00,Aile,Standart,36-45,Kredi Kartı,Kış,7,11751.94,12,3.5,False,False,False,1,965.71
RZV00052,2024-01-02 14:52:00,Aile,Royal,26-35,Online Ödeme,Kış,5,12749.5,15,3.5,True,False,True,5,2306.81
