iter	RMSE
0	0.3768271403
1	0.3646760416
2	0.353768352
3	0.343258937
4	0.3328067514
5	0.3228093947
6	0.3136466921
7	0.3041700636
8	0.2953894585
9	0.2866798287
10	0.2793208332
11	0.2719047283
12	0.2643411204
13	0.2573047427
14	0.2508978159
15	0.2446411477
16	0.2388234626
17	0.232853109
18	0.227593514
19	0.2227881411
20	0.2175356093
21	0.2127759019
22	0.2084345824
23	0.2042765926
24	0.200398229
25	0.1964930874
26	0.1928908908
27	0.1893126884
28	0.1859669388
29	0.1826691565
30	0.1795785257
31	0.1766528194
32	0.1739423722
33	0.1713998904
34	0.1687405445
35	0.1662617319
36	0.1639839681
37	0.1622204225
38	0.1599580652
39	0.1579079225
40	0.1558908263
41	0.1539934592
42	0.1521947784
43	0.1503673167
44	0.1486172777
45	0.146896643
46	0.1455531928
47	0.1440462711
48	0.1425863444
49	0.1410601409
50	0.1398427802
51	0.138509867
52	0.1374061812
53	0.1361362754
54	0.1347463231
55	0.1336999927
56	0.1327131898
57	0.1316945327
58	0.13068149
59	0.129571079
60	0.1286767236
61	0.1279353105
62	0.1271007924
63	0.1261356187
64	0.1251827988
65	0.1243340273
66	0.1236568451
67	0.1230604773
68	0.1222543233
69	0.1214047784
70	0.1205619975
71	0.1198838756
72	0.1191573647
73	0.1186161664
74	0.1179093399
75	0.1171851054
76	0.1165653353
77	0.1160087189
78	0.1154537678
79	0.1149278466
80	0.1142896269
81	0.1136552421
82	0.1132283413
83	0.1127982517
84	0.1122766986
85	0.1120139538
86	0.1114881478
87	0.1110576367
88	0.1106155765
89	0.1100847755
90	0.1096795614
91	0.1092849844
92	0.1089029566
93	0.108570077
94	0.1081500675
95	0.1077945997
96	0.1073853531
97	0.1070331266
98	0.1064863252
99	0.1061121932
100	0.1057450201
101	0.105375425
102	0.1050618976
103	0.1048806388
104	0.1046785702
105	0.1042493853
106	0.1039697615
107	0.1036651679
108	0.1033817061
109	0.1029644461
110	0.102590068
111	0.1023511516
112	0.1020648413
113	0.1017161874
114	0.1014251658
115	0.1011014768
116	0.1008112177
117	0.1004658784
118	0.1001441206
119	0.09987283946
120	0.09963814418
121	0.09943435627
122	0.09913444205
123	0.09884946123
124	0.09858224351
125	0.09841088592
126	0.09819308676
127	0.09810551177
128	0.09772898337
129	0.09752662989
130	0.09740570728
131	0.09730151673
132	0.09710900883
133	0.0968563086
134	0.09657020589
135	0.09641509991
136	0.09632461064
137	0.09604739653
138	0.0958347189
139	0.09560709239
140	0.09546690842
141	0.09527030112
142	0.0950351353
143	0.09480882625
144	0.0945909923
145	0.09433994971
146	0.09408643644
147	0.09383860505
148	0.09373122
149	0.09362944143
150	0.09336362358
151	0.09326719122
152	0.09315738193
153	0.09297120261
154	0.09270260593
155	0.09243767729
156	0.09234383959
157	0.09208062468
158	0.09184398173
159	0.09164811289
160	0.09141265987
161	0.09116361163
162	0.09100230906
163	0.09082571951
164	0.09075057755
165	0.09044903631
166	0.09023905988
167	0.08989695772
168	0.08971263883
169	0.08963570404
170	0.08942299305
171	0.08935321768
172	0.08915539515
173	0.08912047666
174	0.08905736532
175	0.08885716747
176	0.08859684872
177	0.08853609864
178	0.0882620286
179	0.0880440428
180	0.08781321322
181	0.08771055622
182	0.08749468992
183	0.08727419392
184	0.08708032892
185	0.08693517793
186	0.08668073871
187	0.08662177361
188	0.0865524395
189	0.08636497552
190	0.0861461142
191	0.08608662682
192	0.08589246261
193	0.08565043067
194	0.08548468834
195	0.08523366768
196	0.08507351012
197	0.0848856187
198	0.08481626581
199	0.08476317686
200	0.08458717953
201	0.08453180896
202	0.08433031063
203	0.08415638616
204	0.0840463611
205	0.08396111759
206	0.08390982973
207	0.08372284032
208	0.08359665508
209	0.08340111133
210	0.08310761892
211	0.08290919478
212	0.08280506997
213	0.08255663457
214	0.08224918485
215	0.08209879793
216	0.08187208828
217	0.08167013578
218	0.08150635335
219	0.08129624075
220	0.08115920168
221	0.08096281689
222	0.08075132768
223	0.08056837897
224	0.0803723384
225	0.08020320288
226	0.0800169629
227	0.07988823358
228	0.07971323935
229	0.07960127328
230	0.0794332545
231	0.07926225487
232	0.07910970923
233	0.07893773681
234	0.07887664918
235	0.07878374159
236	0.07866867491
237	0.07845443866
238	0.07830462427
239	0.07822797456
240	0.07816729982
241	0.07812193586
242	0.07793167369
243	0.07772039774
244	0.07760584934
245	0.07751866077
246	0.07747646268
247	0.07740066841
248	0.07736235865
249	0.07731752834
250	0.07715836025
251	0.07704227861
252	0.0768883876
253	0.07661763047
254	0.07647933935
255	0.07636794883
256	0.07623286175
257	0.07599546374
258	0.0758164278
259	0.07578276525
260	0.07571484098
261	0.0753855375
262	0.07521952746
263	0.07504516575
264	0.07495672042
265	0.07490362914
266	0.07470445946
267	0.07453791452
268	0.07450236995
269	0.0743428601
270	0.07408990419
271	0.07395992919
272	0.0738363851
273	0.07373718482
274	0.07362253469
275	0.0734871205
276	0.07344980214
277	0.07341568523
278	0.07328230808
279	0.0730649342
280	0.07281633596
281	0.07274737545
282	0.07259442977
283	0.07245265674
284	0.07233544929
285	0.07222642874
286	0.07218739958
287	0.07217049137
288	0.07198378185
289	0.07196474016
290	0.07186519825
291	0.07162514635
292	0.07149152886
293	0.07136787928
294	0.07122857201
295	0.07112240832
296	0.07109603365
297	0.07096252294
298	0.07092801721
299	0.07081897003
