iter	Passed	Remaining
0	3	1173
1	7	1050
2	9	944
3	12	947
4	16	955
5	18	926
6	22	944
7	25	922
8	28	928
9	31	925
10	34	915
11	36	887
12	38	859
13	40	829
14	43	817
15	44	794
16	46	773
17	48	753
18	49	734
19	51	716
20	52	701
21	54	687
22	55	673
23	57	662
24	59	652
25	60	642
26	62	631
27	64	622
28	65	612
29	67	603
30	68	595
31	70	586
32	71	579
33	73	571
34	74	563
35	76	561
36	78	555
37	79	550
38	81	545
39	82	539
40	84	534
41	86	529
42	87	524
43	89	519
44	90	514
45	92	510
46	93	505
47	95	501
48	96	496
49	98	491
50	99	487
51	101	483
52	102	478
53	104	475
54	105	471
55	107	467
56	108	464
57	110	460
58	111	456
59	113	454
60	114	450
61	116	447
62	118	444
63	119	441
64	121	438
65	122	435
66	124	433
67	126	430
68	127	428
69	129	425
70	131	422
71	132	420
72	134	417
73	135	414
74	137	411
75	138	408
76	140	405
77	141	403
78	143	400
79	144	397
80	146	395
81	147	392
82	149	390
83	150	387
84	152	385
85	153	382
86	155	380
87	157	378
88	158	375
89	159	373
90	161	371
91	163	368
92	164	366
93	166	364
94	167	362
95	169	360
96	171	357
97	172	356
98	174	354
99	176	352
100	177	350
101	179	347
102	180	346
103	182	343
104	184	341
105	185	339
106	186	337
107	188	334
108	189	332
109	191	330
110	192	328
111	194	326
112	196	325
113	198	323
114	199	320
115	201	319
116	202	317
117	204	314
118	205	312
119	207	310
120	208	308
121	210	307
122	212	306
123	214	304
124	215	302
125	217	300
126	219	298
127	220	296
128	222	294
129	223	292
130	226	291
131	227	290
132	229	288
133	231	286
134	232	284
135	234	282
136	235	280
137	237	278
138	238	276
139	240	274
140	242	273
141	243	271
142	245	269
143	246	267
144	248	265
145	250	263
146	251	261
147	253	259
148	255	258
149	256	256
150	258	254
151	259	252
152	261	251
153	262	249
154	264	247
155	266	245
156	267	243
157	269	241
158	270	239
159	271	237
160	273	236
161	275	234
162	276	232
163	278	231
164	280	229
165	281	227
166	283	225
167	285	224
168	287	222
169	288	220
170	290	218
171	291	217
172	293	215
173	294	213
174	296	211
175	297	209
176	299	207
177	300	206
178	302	204
179	306	204
180	309	203
181	311	201
182	313	200
183	316	199
184	318	198
185	320	196
186	322	195
187	325	194
188	327	192
189	330	191
190	333	190
191	336	189
192	338	187
193	340	186
194	343	185
195	346	183
196	347	181
197	359	185
198	362	184
199	365	182
200	367	180
201	369	179
202	370	177
203	372	175
204	373	173
205	375	171
206	377	169
207	378	167
208	380	165
209	382	163
210	383	161
211	385	159
212	386	157
213	388	155
214	389	154
215	391	152
216	392	150
217	394	148
218	395	146
219	397	144
220	398	142
221	400	140
222	401	138
223	403	136
224	404	134
225	406	133
226	408	131
227	409	129
228	411	127
229	412	125
230	414	123
231	415	121
232	417	119
233	418	118
234	420	116
235	421	114
236	423	112
237	424	110
238	426	108
239	428	107
240	429	105
241	431	103
242	432	101
243	433	99
244	435	97
245	436	95
246	438	94
247	439	92
248	440	90
249	442	88
250	444	86
251	445	84
252	446	83
253	448	81
254	450	79
255	451	77
256	453	75
257	455	74
258	456	72
259	457	70
260	459	68
261	460	66
262	462	65
263	463	63
264	465	61
265	466	59
266	468	57
267	469	56
268	471	54
269	473	52
270	474	50
271	476	49
272	477	47
273	479	45
274	480	43
275	482	41
276	483	40
277	485	38
278	487	36
279	488	34
280	490	33
281	491	31
282	493	29
283	494	27
284	495	26
285	497	24
286	498	22
287	500	20
288	501	19
289	503	17
290	504	15
291	506	13
292	507	12
293	508	10
294	510	8
295	512	6
296	513	5
297	515	3
298	516	1
299	517	0
