CustomerID,Age,Balance,Satisfaction,CommunicationType,CallDuration,PreviousLoans,CustomerSegment,MonthlyTransactions,Subscribe
1,56,0.5739751750317419,1,1,220,1,0,38,1
2,69,0.6374046122611835,3,0,400,2,1,5,0
3,46,0.5567092565528539,10,2,59,3,0,13,0
4,32,0.7382955104783077,7,2,131,3,0,98,1
5,60,0.3356092442409013,6,1,392,0,0,25,1
6,25,0.7651065916331309,6,0,580,0,0,86,1
7,38,0.43276708170819367,7,2,13,0,0,26,0
8,56,0.4841844983225968,8,2,434,3,1,94,1
9,36,0.6481021272610714,3,2,473,3,1,80,1
10,40,0.01835838399922396,3,2,150,1,0,35,1
11,28,0.6539942214202483,10,0,469,4,1,41,1
12,28,0.6185851490721154,8,2,410,0,0,52,1
13,41,0.3098471167532799,7,2,344,1,0,6,1
14,70,0.08579428489948948,10,0,195,1,0,20,0
15,53,0.09093544991304114,5,1,543,2,0,54,0
16,57,0.9232237469852286,4,1,72,1,1,27,1
17,41,0.6892793212258371,6,2,193,0,0,10,1
18,20,0.1271026137707404,9,1,561,4,0,65,1
19,39,0.35672316930890635,6,0,568,1,0,40,1
20,70,0.5924829939015964,8,2,191,3,1,26,1
21,19,0.8355717050906487,1,0,429,3,1,66,1
22,41,0.04366092871300853,6,1,500,1,0,15,0
23,61,0.23663313147000886,2,1,216,0,0,89,0
24,47,0.88974899029538,3,2,484,4,1,81,1
25,55,0.009165550183816484,6,1,359,4,0,49,0
26,19,0.2013991027938874,2,2,308,0,0,86,0
27,38,0.959024175972966,4,2,420,3,0,60,0
28,50,0.6134018465221711,6,0,580,3,0,49,1
29,29,0.26167136663750645,5,1,410,2,0,48,1
30,39,0.0669910943958476,6,1,516,1,1,98,1
31,61,0.028191340447222157,6,2,242,1,0,92,0
32,42,0.24474507963692727,8,2,171,3,0,5,1
33,66,0.8814858195889105,9,2,459,1,0,32,1
34,44,0.4159136542975095,5,2,364,0,0,8,1
35,59,0.720333369165993,6,0,77,4,2,8,0
36,45,0.9182850353799578,6,1,568,2,0,82,0
37,33,0.4080404616028166,6,0,489,0,0,79,1
38,32,0.19127737103739706,2,1,531,0,0,91,1
39,64,0.5171179308569195,4,0,525,0,1,80,0
40,68,0.9080836870598544,1,2,205,1,2,62,1
41,61,0.8043744141377006,1,0,290,4,0,46,1
42,72,0.06582984336315378,1,0,503,2,1,72,0
43,69,0.6925728000775818,7,2,553,3,0,69,1
44,74,0.5718975224589538,1,2,427,0,0,44,1
45,20,0.9074631763464255,6,1,470,0,0,78,1
46,54,0.12248141685029723,2,1,512,0,2,11,1
47,68,0.5340361132046566,6,0,323,3,1,6,0
48,24,0.8794626935118923,6,0,254,1,0,91,1
49,38,0.410023786741743,3,0,589,1,2,38,1
50,26,0.48199491773286707,8,2,50,4,0,55,1
51,56,0.0704606776669583,4,1,99,1,0,16,0
52,35,0.2781436404489108,7,0,463,1,0,60,1
53,21,0.32450664916894734,4,1,498,2,2,80,1
54,42,0.9451224487448869,1,1,236,2,0,20,1
55,31,0.28266736054115904,6,2,471,1,1,12,0
56,67,0.460868735269652,5,2,397,2,2,46,0
57,26,0.6713044235642798,9,0,156,4,0,10,1
58,43,0.1621833724078774,9,0,297,1,0,83,1
59,70,0.4864423871418745,8,0,13,2,0,53,1
60,19,0.7385390394759076,7,0,115,3,1,15,0
61,37,0.866855213027066,2,0,138,2,0,66,0
62,45,0.6262592746624267,8,1,74,2,0,34,0
63,64,0.6690535153169479,3,1,359,3,0,14,1
64,24,0.12628347258456896,6,2,23,4,0,91,1
65,61,0.9457764972463472,10,2,405,3,0,22,1
66,25,0.13257407748448236,7,1,566,4,1,66,0
67,64,0.7746729371817983,6,2,325,3,0,13,0
68,52,0.2648163217783188,5,2,333,4,0,77,1
69,31,0.9335931437012516,4,0,328,4,0,10,0
70,34,0.7199595393694795,2,2,299,0,1,84,1
71,53,0.753813712978369,9,2,88,0,0,80,1
72,67,0.21905917305988332,7,2,14,2,1,6,1
73,57,0.4430399766351608,7,1,300,3,0,85,1
74,21,0.6178131945892864,4,1,317,4,0,30,0
75,19,0.7699736182066009,5,0,177,0,1,13,1
76,23,0.10395937591238957,6,2,461,2,1,9,1
77,71,0.9623653164545284,2,1,268,2,1,96,1
78,59,0.890220670554556,4,0,104,2,0,98,1
79,21,0.27034859049558435,4,2,516,0,0,21,0
80,71,0.822760243032332,4,0,338,1,0,66,0
81,46,0.5183239230398234,7,0,391,2,0,51,1
82,35,0.46180648156201864,7,2,140,1,0,43,1
83,43,0.3144341058114054,7,1,168,1,0,63,0
84,61,0.5809685866315925,7,2,16,1,0,87,0
85,51,0.7298891177035978,2,2,543,2,0,10,0
86,27,0.41093290496275825,5,2,4,4,0,72,0
87,53,0.6292191930082921,10,1,136,1,2,42,1
88,31,0.6993129211553037,2,2,161,0,0,60,1
89,48,0.7111218170152859,5,1,462,0,0,18,1
90,65,0.05196609813118025,6,0,437,1,2,84,1
91,32,0.8597478056850669,3,1,381,1,0,58,0
92,25,0.45825331476504794,6,0,381,1,0,36,1
93,31,0.26241608169621444,5,0,481,0,1,35,1
94,40,0.2417645074796816,4,2,354,3,0,73,1
95,74,0.48301411284395046,10,1,244,4,1,21,1
96,57,0.8868315394689592,9,0,475,3,1,8,1
97,38,0.3783475816826469,8,0,464,0,0,92,1
98,33,0.7497257467835433,7,1,189,0,0,10,0
99,62,0.0968187309872186,1,1,493,2,0,68,0
100,35,0.4760567021510618,9,0,522,3,0,34,1
101,64,0.9916861403927356,9,0,534,1,0,79,1
102,70,0.770437802792337,6,1,281,1,0,95,0
103,41,0.210528488440613,7,1,429,0,1,13,1
104,43,0.5014414736979107,3,0,580,2,0,28,0
105,42,0.23362476364856655,5,2,252,3,0,24,0
106,62,0.40956092726250926,7,1,562,2,2,17,1
107,58,0.7800840237349648,1,0,42,4,1,59,1
108,46,0.7712248152904037,1,0,481,2,0,96,1
109,32,0.22810037790238513,5,2,140,4,1,99,1
110,62,0.9222233181548601,9,1,510,3,0,23,0
111,18,0.5925681827648268,7,0,536,1,0,51,1
112,42,0.3799242909620145,1,2,269,4,0,75,1
113,24,0.5019355807808606,5,1,360,1,0,71,1
114,26,0.6050712534377437,8,2,294,2,0,44,0
115,41,0.5598905318457854,8,0,474,2,0,98,1
116,18,0.4864050355361782,2,2,471,3,0,62,0
117,61,0.5049328040894001,7,0,160,1,0,35,1
118,25,0.17641191042788618,10,0,44,3,0,49,1
119,41,0.8127329043046794,5,2,206,4,1,58,0
120,28,0.5417603199410154,9,2,107,2,0,77,1
121,68,0.1310798617047031,3,0,503,2,0,90,1
122,34,0.7661571015827779,1,2,441,2,2,31,1
123,25,0.9324439783773508,4,1,64,2,2,56,1
124,52,0.9473068992369621,7,1,266,2,0,59,1
125,52,0.36901773241117275,1,2,398,4,0,31,0
126,50,0.13551687356075404,2,2,223,4,1,49,1
127,22,0.5183996266330652,5,1,288,3,0,47,0
128,59,0.11260922934922069,9,0,284,0,0,46,0
129,56,0.9339874185126172,1,0,185,2,0,10,0
130,58,0.183579627355146,4,1,225,2,0,52,0
131,45,0.2527658599511641,3,0,199,0,2,62,1
132,24,0.40663652688497043,5,2,503,3,1,31,0
133,26,0.3831644685591258,5,2,10,4,0,36,0
134,25,0.794662892397889,10,1,497,2,1,42,1
135,29,0.45631682055096234,2,1,276,3,0,90,0
136,51,0.1707682600033369,5,1,2,0,0,57,0
137,50,0.2672098954860741,9,1,573,4,0,81,0
138,65,0.509113385187522,5,0,4,4,0,31,0
139,72,0.1474539174261349,10,0,520,3,0,44,0
140,40,0.6116556756460141,2,0,569,1,1,98,0
141,41,0.5657473065511459,7,2,279,1,0,39,0
142,54,0.7147023163822577,6,2,422,1,1,81,0
143,52,0.9377046153793677,7,1,237,0,0,66,1
144,61,0.9122545611011557,8,1,316,1,0,5,0
145,57,0.9460756180688313,10,0,126,3,1,31,1
146,39,0.24471559702370094,5,0,303,4,0,26,1
147,44,0.13156530663935462,2,0,177,3,0,52,0
148,52,0.3022767004964485,7,1,489,3,0,28,1
149,18,0.8950851727663146,7,0,436,2,0,27,1
150,52,0.9720534746234882,8,1,37,0,0,57,1
151,54,0.859324951070476,7,1,482,4,0,39,0
152,64,0.1100177211275436,10,2,314,2,0,77,1
153,31,0.9474279980597932,7,2,483,0,0,31,1
154,20,0.423358027350786,9,1,96,4,1,11,1
155,18,0.009310290762353679,8,0,16,2,2,28,0
156,22,0.4423937407481936,2,1,446,1,0,84,0
157,43,0.04606916967546759,2,1,278,3,1,27,0
158,72,0.5438779211611176,7,1,451,1,2,11,1
159,31,0.3385540274370513,10,1,28,4,0,60,0
160,56,0.47343493359404876,10,2,545,2,0,26,0
161,44,0.613170360743117,3,2,9,2,0,97,1
162,26,0.8688010958178203,1,1,100,2,1,24,1
163,32,0.6619015764719286,9,2,86,3,0,10,1
164,32,0.4340488684781807,3,2,469,2,0,35,0
165,43,0.8194278536703651,1,0,300,0,0,95,1
166,59,0.9055821375731322,6,2,205,0,1,77,1
167,30,0.11975996643219722,4,2,81,0,0,66,1
168,68,0.5319329775527915,1,1,211,1,0,93,0
169,49,0.28451195974244414,4,2,118,4,2,46,1
170,56,0.0470611978769474,8,2,135,1,1,17,1
171,66,0.6685466951139853,7,2,376,1,1,31,1
172,69,0.8627707774592256,1,1,427,3,2,87,1
173,49,0.16290265447739405,10,1,313,1,1,84,1
174,21,0.8124136576239005,9,2,403,3,1,51,1
175,47,0.8533957335369416,6,1,242,0,2,61,1
176,54,0.9143404426664835,2,1,344,0,1,82,1
177,40,0.2652850890860524,3,0,423,1,0,8,0
178,56,0.9039530651898893,7,2,15,1,0,26,1
179,62,0.32066275473643224,3,0,515,0,0,58,0
180,32,0.5523380134555028,3,2,265,2,0,5,1
181,60,0.05050747083228213,5,2,559,0,1,55,1
182,46,0.043881088368743604,3,0,19,2,0,89,1
183,53,0.7203732127322029,3,0,10,0,1,67,1
184,30,0.44447997797779104,5,2,19,4,2,34,0
185,49,0.25629237536921756,5,0,278,3,0,95,1
186,24,0.1904134960249102,9,0,332,3,0,38,0
187,68,0.6699534908592181,1,1,546,4,0,33,1
188,39,0.00040154402533987277,1,2,400,2,0,72,1
189,45,0.8058911691968542,9,1,37,1,0,75,1
190,19,0.07924960612992882,5,2,82,1,0,61,1
191,59,0.19148961490811944,4,1,31,3,1,80,0
192,62,0.3862363952990896,2,2,53,1,0,37,0
193,74,0.4848587397161036,9,1,536,2,0,92,0
194,70,0.35499511581394183,6,2,44,1,0,69,1
195,23,0.3207121649842939,9,1,293,0,0,38,1
196,45,0.9639160120731884,5,0,124,4,0,85,0
197,45,0.6415796812433943,4,2,547,3,0,54,1
198,61,0.02343295536738821,7,0,343,1,0,61,1
199,61,0.4301759084443132,5,1,422,2,1,90,1
200,37,0.8750086997439702,8,2,166,1,2,53,1
201,47,0.30145618641066796,8,1,268,4,0,52,0
202,28,0.09455634477438823,2,1,193,0,1,95,1
203,72,0.7583847715899178,5,0,123,3,0,83,0
204,45,0.6060138319360813,10,2,270,3,1,83,1
205,42,0.5703125078265039,8,1,57,2,0,60,1
206,56,0.053576559607407925,3,0,58,0,0,91,0
207,50,0.14049900979551733,7,0,449,1,0,16,0
208,18,0.6225493962131138,3,0,216,1,1,95,0
209,74,0.2078238414588358,6,0,580,2,0,60,1
210,44,0.5040700797484243,2,1,481,0,2,13,1
211,74,0.5448816860293935,6,1,243,2,0,33,0
212,69,0.2835071902709394,6,1,102,4,0,41,0
213,30,0.9484251555414929,8,2,516,4,0,25,1
214,58,0.8424641068355752,5,2,263,1,1,5,1
215,20,0.7223735076327985,1,0,240,4,0,80,1
216,56,0.07799386640940908,8,1,228,2,0,69,0
217,23,0.10613001930901944,9,0,451,3,1,31,0
218,25,0.4927813458649557,1,1,454,4,0,28,0
219,44,0.16071334919098568,5,2,543,2,0,92,0
220,26,0.9782654635294741,6,0,373,3,0,53,0
221,54,0.15852023402740945,4,1,23,3,0,38,0
222,50,0.487467835463974,2,1,305,4,0,61,1
223,68,0.3641210568415054,5,1,373,0,1,54,1
224,59,0.639386421454098,4,0,186,4,1,50,0
225,61,0.12903640888942491,7,2,111,4,1,14,1
226,41,0.4303164280423909,6,1,492,0,0,92,0
227,32,0.27470503280714365,3,0,293,4,0,95,1
228,71,0.887751524671688,9,1,421,2,1,11,1
229,49,0.040585712134695084,4,0,148,0,2,18,1
230,49,0.9137274940064593,5,2,150,2,0,19,1
231,41,0.8329941385530004,3,1,173,3,0,55,1
232,58,0.29757071644081545,8,0,196,0,1,59,1
233,69,0.7892906546771047,7,1,254,3,0,36,1
234,66,0.03121356033874756,7,0,413,1,2,63,1
235,66,0.9668655502933936,8,2,167,1,0,77,0
