EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,No,Travel_Rarely,275,Sales,8,1,Life Sciences,1.0,3,Female,37,3,Sales Executive,4,Married,6070.0,3,No,20,3,4,80,2,23,5,3,12,3,0,4
2,35,No,Travel_Rarely,691,Research & Development,21,5,Technical Degree,1.0,1,Male,95,3,Research Director,3,Married,15219.0,4,Yes,17,3,4,80,0,17,2,3,0,0,0,0
3,43,No,Travel_Rarely,565,Research & Development,15,2,Technical Degree,1.0,2,Female,77,3,Research Director,4,Married,12447.0,7,No,17,3,1,80,1,25,4,3,4,2,0,0
4,52,No,Travel_Rarely,451,Human Resources,8,3,Technical Degree,1.0,3,Male,62,2,Human Resources,4,Single,9929.0,4,No,14,1,1,80,1,34,2,1,0,0,0,0
5,34,No,Travel_Rarely,587,Research & Development,11,3,Life Sciences,1.0,4,Female,80,2,Research Scientist,2,Married,12926.0,9,No,16,3,3,80,1,16,3,3,16,8,0,0
6,34,Yes,Travel_Rarely,283,Human Resources,5,2,Life Sciences,1.0,1,Male,38,3,Human Resources,1,Married,6236.0,3,No,13,3,2,80,0,16,0,2,0,0,0,0
7,52,No,Travel_Rarely,607,Human Resources,13,2,Medical,1.0,3,Male,83,3,Manager,2,Single,13364.0,7,No,11,3,2,80,2,34,3,3,16,0,0,4
8,44,No,Travel_Frequently,656,Research & Development,16,3,Other,1.0,3,Female,90,4,Manufacturing Director,4,Divorced,14450.0,8,No,15,3,1,80,3,26,3,2,18,9,5,7
9,32,No,Travel_Frequently,240,Research & Development,17,1,Life Sciences,1.0,4,Male,33,3,Research Scientist,2,Single,5282.0,4,Yes,23,3,4,80,0,14,6,3,2,2,1,1
10,42,No,Travel_Rarely,329,Sales,11,2,Marketing,1.0,4,Female,45,3,Sales Executive,1,Married,7238.0,4,No,16,2,2,80,3,24,3,3,20,5,3,4
11,32,No,Travel_Rarely,499,Sales,9,4,Life Sciences,1.0,1,Male,68,2,Manager,3,Single,10991.0,4,Yes,12,3,4,80,0,14,4,2,4,3,4,2
12,32,No,Travel_Rarely,520,Human Resources,5,4,Other,1.0,3,Male,71,3,Manager,3,Married,11457.0,5,No,14,3,3,80,3,14,2,3,14,2,1,2
13,39,Yes,Travel_Rarely,524,Research & Development,24,2,Technical Degree,1.0,1,Female,72,2,Research Director,1,Divorced,11541.0,5,Yes,18,3,3,80,0,21,3,3,4,1,4,0
14,18,No,Travel_Rarely,293,Research & Development,3,3,Life Sciences,1.0,4,Female,40,3,Research Scientist,3,Divorced,6446.0,0,No,14,3,4,80,1,0,3,3,0,0,0,0
15,19,No,Travel_Rarely,447,Research & Development,7,4,Life Sciences,1.0,4,Male,61,2,Research Scientist,4,Single,9835.0,4,No,11,3,4,80,1,1,2,3,1,1,0,1
16,31,Yes,Non-Travel,327,Research & Development,8,2,Medical,1.0,3,Male,45,1,Laboratory Technician,4,Divorced,7214.0,0,No,23,3,1,80,0,13,2,1,1,0,0,0
17,26,No,Travel_Frequently,700,Research & Development,2,5,Medical,1.0,4,Male,96,3,Manufacturing Director,4,Single,15420.0,5,Yes,18,3,2,80,2,8,3,2,8,0,4,0
18,40,No,Travel_Rarely,440,Sales,24,5,Medical,1.0,2,Male,60,3,Sales Executive,3,Divorced,9701.0,5,Yes,22,3,4,80,1,22,0,3,13,1,4,4
19,27,No,Travel_Frequently,249,Research & Development,7,2,Technical Degree,1.0,1,Male,34,2,Research Scientist,4,Married,5484.0,0,Yes,17,3,1,80,0,9,1,3,1,1,1,1
20,22,Yes,Travel_Frequently,448,Research & Development,7,4,Other,1.0,2,Male,61,3,Manager,4,Married,9871.0,0,No,21,3,4,80,1,4,2,3,0,0,0,0
21,51,No,Travel_Frequently,509,Research & Development,13,4,Medical,1.0,4,Female,70,3,Research Scientist,3,Divorced,11208.0,7,Yes,14,2,4,80,1,33,2,4,8,2,3,2
22,34,Yes,Travel_Rarely,610,Research & Development,21,3,Life Sciences,1.0,1,Male,83,4,Research Director,2,Married,13427.0,3,No,14,3,2,80,1,16,2,2,3,3,2,0
23,37,No,Travel_Frequently,422,Research & Development,14,4,Life Sciences,1.0,3,Female,58,3,Laboratory Technician,4,Single,9285.0,1,No,25,4,2,80,1,19,4,4,0,0,0,0
24,22,No,Travel_Frequently,417,Research & Development,9,4,Marketing,1.0,1,Female,57,3,Laboratory Technician,3,Single,9178.0,3,No,15,3,2,80,3,4,3,3,4,2,1,4
25,31,No,Non-Travel,846,Research & Development,6,5,Medical,1.0,3,Female,100,3,Manufacturing Director,3,Divorced,16647.0024,8,Yes,24,3,4,80,3,13,2,3,13,2,0,1
26,38,No,Travel_Rarely,296,Research & Development,6,1,Life Sciences,1.0,1,Male,40,3,Research Scientist,2,Married,6521.0,5,No,25,3,2,80,0,20,2,3,2,2,2,2
27,25,Yes,Travel_Frequently,338,Sales,7,4,Life Sciences,1.0,1,Female,46,3,Sales Executive,1,Married,7449.0,1,No,23,3,2,80,1,7,3,4,1,0,0,1
28,40,No,Travel_Frequently,414,Research & Development,14,5,Marketing,1.0,4,Female,57,2,Research Scientist,2,Single,9122.0,4,Yes,11,3,3,80,2,22,3,2,13,1,1,1
29,30,Yes,Travel_Frequently,373,Sales,7,4,Marketing,1.0,2,Female,51,1,Sales Representative,1,Single,8221.0,4,No,12,3,3,80,0,12,4,3,5,4,1,1
30,34,No,Travel_Rarely,662,Research & Development,6,3,Medical,1.0,2,Male,91,3,Research Director,2,Single,14580.0,7,No,19,3,4,80,3,16,2,4,16,0,1,8
31,30,No,Travel_Rarely,325,Research & Development,11,2,Life Sciences,1.0,4,Male,44,3,Research Scientist,3,Single,7167.0,3,No,13,4,4,80,0,12,2,2,7,2,3,1
32,55,No,Travel_Rarely,454,Sales,8,3,Life Sciences,1.0,3,Female,62,3,Sales Executive,4,Married,9994.0,9,Yes,15,3,4,80,0,37,2,4,5,5,4,0
33,36,No,Travel_Rarely,346,Sales,10,3,Life Sciences,1.0,4,Male,47,2,Sales Executive,4,Single,7613.0,2,Yes,20,3,1,80,3,18,5,3,18,0,0,4
34,26,No,Travel_Rarely,594,Research & Development,7,4,Technical Degree,1.0,4,Female,81,2,Research Director,3,Single,13086.0,0,No,17,3,4,80,2,8,2,3,8,8,0,5
35,45,No,Travel_Rarely,418,Research & Development,10,2,Medical,1.0,3,Male,57,3,Laboratory Technician,3,Married,9210.0,3,Yes,19,3,4,80,0,27,4,3,3,1,3,0
36,24,Yes,Travel_Rarely,258,Sales,14,3,Life Sciences,1.0,3,Male,35,1,Sales Representative,4,Single,5697.0,4,Yes,25,3,4,80,1,6,3,3,0,0,0,0
37,39,No,Travel_Frequently,481,Sales,21,5,Life Sciences,1.0,4,Male,66,3,Sales Executive,3,Divorced,10589.0,3,Yes,25,3,2,80,0,21,2,3,9,1,3,0
38,18,No,Travel_Rarely,609,Research & Development,11,4,Life Sciences,1.0,1,Male,83,2,Research Director,3,Single,13403.0,1,No,13,3,3,80,2,0,0,3,0,0,0,0
39,23,Yes,Travel_Rarely,244,Research & Development,9,3,Medical,1.0,4,Male,33,3,Research Scientist,2,Married,5380.0,0,Yes,15,3,2,80,0,5,3,3,0,0,0,0
40,38,No,Travel_Rarely,593,Research & Development,11,3,Human Resources,1.0,3,Female,81,4,Research Director,4,Married,13046.0,4,Yes,15,3,3,80,2,20,3,3,15,5,3,3
41,44,No,Non-Travel,408,Research & Development,12,3,Other,1.0,3,Female,56,3,Laboratory Technician,4,Single,8984.0,5,No,15,3,1,80,2,26,4,3,14,4,0,0
42,38,No,Travel_Rarely,473,Research & Development,9,4,Technical Degree,1.0,4,Male,65,3,Laboratory Technician,2,Divorced,10409.0,5,No,11,3,4,80,0,20,4,1,0,0,0,0
43,35,No,Non-Travel,334,Sales,12,3,Life Sciences,1.0,4,Female,45,2,Sales Representative,1,Married,7357.0,4,No,14,3,4,80,0,17,5,1,9,1,2,2
44,33,No,Travel_Frequently,573,Research & Development,10,3,Medical,1.0,3,Male,78,2,Manufacturing Director,3,Single,12618.0,4,Yes,22,3,2,80,2,15,2,4,3,0,1,3
45,22,Yes,Non-Travel,291,Human Resources,8,4,Technical Degree,1.0,2,Male,40,1,Human Resources,1,Divorced,6418.0,3,No,19,4,1,80,0,4,0,2,0,0,0,0
46,29,No,Travel_Frequently,323,Sales,14,3,Life Sciences,1.0,4,Female,44,3,Sales Representative,4,Divorced,7119.0,1,Yes,16,4,3,80,1,11,4,4,2,0,1,2
47,32,No,Travel_Frequently,450,Sales,6,2,Medical,1.0,4,Male,61,1,Manager,4,Married,9918.0,1,Yes,24,3,4,80,3,14,2,3,6,0,4,1
48,47,No,Travel_Frequently,491,Sales,12,4,Life Sciences,1.0,3,Male,67,2,Sales Representative,1,Single,10803.0,4,No,14,3,4,80,1,29,2,3,2,0,2,1
49,40,No,Travel_Rarely,405,Sales,17,3,Life Sciences,1.0,4,Female,55,3,Sales Executive,3,Married,8927.0,6,Yes,16,3,3,80,1,22,6,2,10,2,10,1
50,19,No,Travel_Rarely,482,Research & Development,13,1,Life Sciences,1.0,4,Female,66,1,Research Director,3,Married,10622.0,4,No,13,3,4,80,1,1,4,4,1,1,1,0
51,40,No,Travel_Rarely,431,Research & Development,11,4,Medical,1.0,2,Male,59,3,Laboratory Technician,1,Single,9491.0,4,No,25,4,4,80,0,22,0,4,0,0,0,0
52,33,No,Travel_Rarely,608,Research & Development,16,5,Medical,1.0,2,Male,83,3,Research Director,4,Married,13390.0,5,No,15,4,1,80,2,15,6,2,5,5,5,5
53,30,No,Travel_Rarely,390,Research & Development,12,4,Life Sciences,1.0,2,Male,53,3,Research Scientist,3,Married,8586.0,1,Yes,24,3,4,80,1,12,0,4,4,2,0,4
54,43,No,Travel_Rarely,580,Research & Development,8,1,Medical,1.0,3,Male,79,3,Manufacturing Director,4,Married,12769.0,5,No,17,4,4,80,2,25,0,2,0,0,0,0
55,47,No,Travel_Rarely,405,Human Resources,5,3,Life Sciences,1.0,2,Female,55,4,Healthcare Representative,4,Married,8918.0,6,No,18,3,4,80,0,29,3,4,4,0,0,2
56,46,No,Travel_Rarely,418,Sales,10,3,Life Sciences,1.0,1,Male,57,2,Sales Executive,2,Divorced,9216.0,4,No,12,3,1,80,1,28,3,3,11,0,1,0
